Ticker,Year,Book Value,Comprehensive Income,Dividends
MDIA3,2020,6646.0,756.0,44.0
MDIA3,2021,7032.0,554.0,13.0
MDIA3,2022,6709.0,359.0,37.0
MDIA3,2023,7605.0,954.0,0.0
MDIA3,2024,7998.0,654.0,51.0
MDIA3,2025,8238.0,666.0,0.0
RADL3,2020,4426.0,496.0,191.0
RADL3,2021,4719.0,764.0,265.0
RADL3,2022,5403.0,1015.0,324.0
RADL3,2023,6028.0,1087.0,466.0
RADL3,2024,6447.0,1211.0,475.0
RADL3,2025,7336.0,1300.0,653.0
VIVA3,2020,1171476.0,146672.0,308113.0
VIVA3,2021,1392731.0,298490.0,120343.0
VIVA3,2022,1657953.0,360854.0,60000.0
VIVA3,2023,1933722.0,369245.0,160000.0
VIVA3,2024,2496943.0,653860.0,190000.0
VIVA3,2025,2949567.0,619424.0,300000.0
