Ticker,Year,Book Value,Dividends
MDIA3,2020,9730.0,44.0
MDIA3,2021,10657.0,13.0
MDIA3,2022,11439.0,37.0
MDIA3,2023,12341.0,0.0
MDIA3,2024,12769.0,51.0
MDIA3,2025,12559.0,0.0
RADL3,2020,13828.0,191.0
RADL3,2021,14776.0,265.0
RADL3,2022,17185.0,324.0
RADL3,2023,20094.0,466.0
RADL3,2024,22164.0,475.0
RADL3,2025,25170.0,653.0
VIVA3,2020,2140697.0,308113.0
VIVA3,2021,2563869.0,120343.0
VIVA3,2022,2932173.0,60000.0
VIVA3,2023,3241590.0,160000.0
VIVA3,2024,4273730.0,190000.0
VIVA3,2025,4722693.0,300000.0
